,Country,total_eqs,maxMag_date
14,CHINA,610,1668-7-25
32,JAPAN,409,2011-3-11
68,INDONESIA,399,2004-12-26
7,IRAN,380,856-12-22
9,TURKEY,330,1912-8-9
5,ITALY,326,1915-1-13
51,USA,271,1964-3-28
3,GREECE,269,365-7-21
65,PHILIPPINES,221,1897-9-21
57,MEXICO,204,1899-1-24
55,CHILE,198,1960-5-22
48,PERU,185,1716-2-6
15,RUSSIA,150,1952-11-4
8,INDIA,99,1950-8-15
72,TAIWAN,98,1920-6-5
85,PAPUA NEW GUINEA,98,1919-5-6
62,COLOMBIA,79,1826-6-18
98,NEW ZEALAND,71,2021-3-4
50,VENEZUELA,66,1894-4-29
59,ECUADOR,64,1906-1-31
115,SOLOMON ISLANDS,61,1977-4-21
22,AFGHANISTAN,59,1909-7-7
44,ALGERIA,57,1980-10-10
16,ALBANIA,56,1893-6-14
105,VANUATU,54,1913-10-14
20,PAKISTAN,53,1945-11-27
41,CROATIA,49,1667-4-6
27,FRANCE,43,1817-3-11
66,USA TERRITORY,40,1902-9-22
71,NICARAGUA,39,1898-4-29
63,EL SALVADOR,38,1915-9-7
61,GUATEMALA,38,1942-8-6
64,COSTA RICA,35,1950-10-5
80,MYANMAR (BURMA),33,1912-5-23
1,SYRIA,33,1202-5-20
37,SWITZERLAND,31,1601-9-8
56,AZORES (PORTUGAL),27,1968-2-28
11,SPAIN,27,881-5-26
13,PORTUGAL,26,-60-nan-nan
119,TAJIKISTAN,26,1907-10-21
31,IRAQ,24,1864-12-2
104,AUSTRALIA,24,1989-5-23
4,ISRAEL,23,-31-9-2
67,PANAMA,23,1882-9-7
102,TONGA,22,1919-4-30
30,SLOVENIA,22,1511-3-26
107,NEW CALEDONIA,21,1875-3-28
77,ARGENTINA,21,1944-1-15
40,MOROCCO,20,2004-2-24
73,CANADA,20,1949-8-22
21,SOUTH KOREA,20,1643-7-25
74,JAMAICA,19,1899-6-14
109,FIJI,19,1919-1-1
17,BULGARIA,18,1904-4-4
52,DOMINICAN REPUBLIC,18,1946-8-4
117,KERMADEC ISLANDS (NEW ZEALAND),17,1986-10-20
83,BANGLADESH,17,1918-7-8
78,HAITI,17,1842-5-7
36,ICELAND,17,1912-5-6
39,NEPAL,16,1505-6-6
25,AZERBAIJAN,16,1667-11-nan
18,GEORGIA,15,1905-10-21
47,SERBIA,15,1922-3-24
12,EGYPT,15,1995-11-22
54,ROMANIA,15,1977-3-4
